ESC,Thrust
1000,0
1010,0
1020,0
1030,0
1040,0
1050,14
1060,17
1070,23
1080,30
1090,36
1100,39
1110,47
1120,52
1130,62
1140,69
1150,76
1160,83
1170,90
1180,95
1190,108
1200,112
1210,117
1220,123
1230,131
1250,145
1270,159
1290,172
1310,194
1330,201
1350,220
1370,234
1390,248
1410,260
1430,271
1450,286
1470,300
1490,305
1510,320
1530,337
1550,351
1570,362
1590,385
1610,388
1630,421
1650,443
1670,462
1690,473
1710,502
1730,510
1750,542
1770,565
1790,576
1810,590
1830,620
1940,656
2000,651
